"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
68135,3/31/2026 0:00:00,23976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
68137,3/31/2026 0:00:00,24276,0,0,0,0,0,0,85301395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,126665,0,0,1723834,92223725,0,0,0,0,5071831,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,608,1529,0,0,0,0,0,0,34
68138,3/31/2026 0:00:00,23981,0,0,0,0,0,0,2020514,0,0,0,0,0,0,0,1346339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7216,0,0,83138,4100757,0,0,0,0,643550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,97,18,0,0,0,0,0,139
68144,3/31/2026 0:00:00,23921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
68148,3/31/2026 0:00:00,23897,0,0,0,0,0,0,3991280,0,0,0,0,0,0,0,7061370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,13249564,0,0,0,0,2194414,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,7,96,0,0,0,0,0,0,146
68150,3/31/2026 0:00:00,1091,0,0,0,0,0,0,5335868,0,0,0,0,0,0,0,14872811,0,0,0,0,0,0,0,0,0,237256,0,0,0,0,0,0,0,2086404,26012962,0,0,0,0,3717879,13,99,0,0,0,0,3,21,1,48,9,92,100,4,7,3,17,20,112,415,429,47,2,0,2,0,4,755
68153,3/31/2026 0:00:00,24046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68161,3/31/2026 0:00:00,23846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
68165,3/31/2026 0:00:00,24062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68167,3/31/2026 0:00:00,23879,0,0,0,0,0,0,1135392,0,0,0,0,0,0,0,852963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105423,2112038,0,0,0,0,18260,6,0,0,0,0,0,2,0,2,0,6,0,6,0,0,2,0,0,6,296,141,3,0,0,0,0,0,112
68171,3/31/2026 0:00:00,23968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2529068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11342,0,0,0,2597973,0,0,0,0,57563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,56
68172,3/31/2026 0:00:00,23852,0,0,0,0,0,0,1383753,0,0,0,0,0,0,0,1356037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123018,2862808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,101,0,0,0,0,0,0,7
68173,3/31/2026 0:00:00,23901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232459,0,0,0,0,279193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
68180,3/31/2026 0:00:00,21552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
